Dist,E' (mV),E_bar (V),u' (m/s),u_bar (m/s),Reynolds,Freestream pressure,Freestream speed,Freestream Re,u_bar_U,x_error,y_error,u_plus,y_plus,u_star,Density,Mu,L,Nu
0.5,30.85,1.566,1.154202685,7.796457319,598228.1673,0.94,12.38827622,950561.9640,8.29410353,2.083398348,0.372884615,14.07302765,18.64423077,0.554,1.225,0.0000182,1.14,1.48571E-05
0.75,28.6,1.572,1.089615299,8.02298966,615610.1681,0,0,0,8.535095383,1.966814618,0.372884615,14.48193079,27.96634615,0,0,0,0,0
1,28.16,1.577,1.089061715,8.214919117,630337.063,0,0,0,8.739275657,1.965815369,0.372884615,14.82837386,37.28846154,0,0,0,0,0
1.25,26.82,1.578,1.040340065,8.253650992,633308.9896,0,0,0,8.780479779,1.877870153,0.372884615,14.89828699,46.61057692,0,0,0,0,0
1.5,26.47,1.584,1.045226834,8.488478675,651327.4984,0,0,0,9.030296463,1.886691036,0.372884615,15.32216367,55.93269231,0,0,0,0,0
1.75,25.66,1.586,1.019243921,8.567686903,657405.2066,0,0,0,9.114560535,1.839790471,0.372884615,15.46513881,65.25480769,0,0,0,0,0
2,25.03,1.59,1.005980721,8.727510211,669668.572,0,0,0,9.284585331,1.815849677,0.372884615,15.75362854,74.57692308,0,0,0,0,0
2.5,24.53,1.595,1.000389318,8.929941587,685201.2872,0,0,0,9.499937859,1.805756892,0.372884615,16.11902814,93.22115385,0,0,0,0,0
3,23,1.6,0.951692584,9.135340305,700961.6888,0,0,0,9.718447133,1.717856649,0.372884615,16.48978394,111.8653846,0,0,0,0,0
3.5,22.56,1.605,0.947023452,9.343728293,716951.4594,0,0,0,9.940136481,1.709428613,0.372884615,16.86593555,130.5096154,0,0,0,0,0
4,22.05,1.609,0.936269525,9.512605737,729909.5556,0,0,0,10.11979334,1.690017193,0.372884615,17.17076848,149.1538462,0,0,0,0,0
5,20.67,1.614,0.890240276,9.72642989,746316.4474,0,0,0,10.34726584,1.606931906,0.372884615,17.55673265,186.4423077,0,0,0,0,0
6,19.06,1.623,0.841970892,10.11901689,776439.9495,0,0,0,10.76491158,1.519803054,0.372884615,18.26537344,223.7307692,0,0,0,0,0
7,18.45,1.627,0.824175311,10.29670695,790074.2446,0,0,0,10.95394356,1.487681068,0.372884615,18.58611362,261.0192308,0,0,0,0,0
8,17.33,1.635,0.791483845,10.65806755,817801.7216,0,0,0,11.33836973,1.428671201,0.372884615,19.23838908,298.3076923,0,0,0,0,0
9,16,1.643,0.74693388,11.02747859,846146.9149,0,0,0,11.7313602,1.348256101,0.372884615,19.90519601,335.5961538,0,0,0,0,0
10,15.01,1.647,0.708377763,11.21523181,860553.3635,0,0,0,11.93109767,1.278660223,0.372884615,20.24410073,372.8846154,0,0,0,0,0
12,12.54,1.654,0.603096368,11.54873298,886143.1654,0,0,0,12.28588615,1.088621603,0.372884615,20.84608842,447.4615385,0,0,0,0,0
14,9.91,1.662,0.486911806,11.93763398,915983.8377,0,0,0,12.69961061,0.878902176,0.372884615,21.54807577,522.0384615,0,0,0,0,0
16,6.48,1.669,0.324340759,12.28477963,942620.5911,0,0,0,13.0689145,0.585452634,0.372884615,22.17469248,596.6153846,0,0,0,0,0
18,3.8,1.669,0.190199828,12.28477963,942620.5911,0,0,0,13.0689145,0.343320989,0.372884615,22.17469248,671.1923077,0,0,0,0,0
20,2.69,1.67,0.134996664,12.33489823,946466.2294,0,0,0,13.12223216,0.243676289,0.372884615,22.26515926,745.7692308,0,0,0,0,0
