Dist,E' (mV),E_bar (V),u' (m/s),u_bar (m/s),Reynolds,Freestream pressure,Freestream speed,Freestream Re,u_bar_U,x_error,y_error
0.5,30.85,1.566,1.154202685,7.796457319,598228.1673,0.94,12.38827622,950561.9640,0.629341579,0.09316895,0.01
0.75,28.6,1.572,1.089615299,8.02298966,615610.1681,0,0,0,0.647627605,0.08795536,0.01
1,28.16,1.577,1.089061715,8.214919117,630337.063,0,0,0,0.663120435,0.087910674,0.01
1.25,26.82,1.578,1.040340065,8.253650992,633308.9896,0,0,0,0.666246929,0.08397779,0.01
1.5,26.47,1.584,1.045226834,8.488478675,651327.4984,0,0,0,0.685202568,0.084372258,0.01
1.75,25.66,1.586,1.019243921,8.567686903,657405.2066,0,0,0,0.691596373,0.082274878,0.01
2,25.03,1.59,1.005980721,8.727510211,669668.572,0,0,0,0.704497547,0.081204253,0.01
2.5,24.53,1.595,1.000389318,8.929941587,685201.2872,0,0,0,0.720838108,0.080752907,0.01
3,23,1.6,0.951692584,9.135340305,700961.6888,0,0,0,0.737418196,0.076822035,0.01
3.5,22.56,1.605,0.947023452,9.343728293,716951.4594,0,0,0,0.754239583,0.076445135,0.01
4,22.05,1.609,0.936269525,9.512605737,729909.5556,0,0,0,0.76787162,0.075577062,0.01
5,20.67,1.614,0.890240276,9.72642989,746316.4474,0,0,0,0.785131823,0.071861513,0.01
6,19.06,1.623,0.841970892,10.11901689,776439.9495,0,0,0,0.816822026,0.067965137,0.01
7,18.45,1.627,0.824175311,10.29670695,790074.2446,0,0,0,0.831165431,0.066528651,0.01
8,17.33,1.635,0.791483845,10.65806755,817801.7216,0,0,0,0.860334994,0.063889748,0.01
9,16,1.643,0.74693388,11.02747859,846146.9149,0,0,0,0.8901544,0.060293609,0.01
10,15.01,1.647,0.708377763,11.21523181,860553.3635,0,0,0,0.905310118,0.057181302,0.01
12,12.54,1.654,0.603096368,11.54873298,886143.1654,0,0,0,0.932230827,0.048682832,0.01
14,9.91,1.662,0.486911806,11.93763398,915983.8377,0,0,0,0.963623491,0.039304242,0.01
16,6.48,1.669,0.324340759,12.28477963,942620.5911,0,0,0,0.991645602,0.026181266,0.01
18,3.8,1.669,0.190199828,12.28477963,942620.5911,0,0,0,0.991645602,0.015353212,0.01
20,2.69,1.67,0.134996664,12.33489823,946466.2294,0,0,0,0.995691249,0.010897131,0.01
